iter	Passed	Remaining
0	16	8398
1	41	10447
2	66	11041
3	83	10332
4	125	12424
5	155	12762
6	186	13147
7	214	13211
8	242	13235
9	271	13306
10	290	12921
11	313	12767
12	342	12843
13	372	12923
14	400	12954
15	428	12974
16	456	12977
17	484	12983
18	514	13020
19	542	13015
20	571	13032
21	599	13020
22	643	13340
23	686	13609
24	722	13734
25	745	13595
26	778	13633
27	808	13633
28	846	13755
29	875	13718
30	903	13673
31	932	13639
32	961	13609
33	991	13590
34	1011	13443
35	1041	13428
36	1070	13401
37	1100	13381
38	1128	13337
39	1155	13290
40	1187	13295
41	1217	13272
42	1253	13325
43	1282	13287
44	1317	13318
45	1327	13098
46	1355	13065
47	1384	13038
48	1412	13003
49	1442	12983
50	1457	12830
51	1479	12750
52	1508	12726
53	1536	12692
54	1566	12672
55	1595	12653
56	1624	12622
57	1651	12587
58	1679	12555
59	1702	12484
60	1721	12392
61	1737	12271
62	1756	12181
63	1784	12159
64	1813	12137
65	1842	12113
66	1869	12083
67	1898	12057
68	1925	12029
69	1954	12006
70	1984	11993
71	1995	11861
72	2023	11834
73	2042	11755
74	2070	11731
75	2098	11705
76	2126	11680
77	2146	11610
78	2165	11538
79	2179	11441
80	2207	11418
81	2236	11399
82	2265	11381
83	2295	11368
84	2324	11347
85	2352	11322
86	2380	11301
87	2408	11277
88	2427	11210
89	2456	11191
90	2484	11168
91	2512	11141
92	2539	11115
93	2570	11104
94	2599	11082
95	2627	11056
96	2655	11032
97	2679	10990
98	2708	10969
99	2737	10948
100	2765	10925
101	2780	10851
102	2795	10776
103	2810	10702
104	2839	10681
105	2867	10659
106	2896	10638
107	2924	10616
108	2935	10528
109	2962	10504
110	2990	10479
111	3019	10459
112	3047	10437
113	3079	10425
114	3106	10400
115	3120	10331
116	3136	10267
117	3164	10244
118	3192	10220
119	3203	10143
120	3230	10118
121	3240	10041
122	3268	10019
123	3296	9996
124	3325	9975
125	3353	9954
126	3381	9931
127	3409	9908
128	3419	9834
129	3448	9814
130	3463	9754
131	3491	9732
132	3518	9709
133	3546	9687
134	3575	9666
135	3602	9642
136	3608	9561
137	3636	9539
138	3664	9517
139	3692	9495
140	3720	9472
141	3748	9451
142	3777	9429
143	3805	9407
144	3833	9385
145	3861	9363
146	3890	9341
147	3917	9317
148	3940	9283
149	3969	9262
150	3996	9237
151	4028	9222
152	4056	9199
153	4085	9179
154	4114	9157
155	4143	9136
156	4171	9112
157	4198	9088
158	4226	9064
159	4255	9042
160	4283	9018
161	4311	8995
162	4322	8935
163	4350	8913
164	4378	8890
165	4410	8874
166	4437	8849
167	4466	8826
168	4495	8803
169	4522	8779
170	4533	8722
171	4561	8698
172	4589	8675
173	4618	8653
174	4646	8628
175	4674	8604
176	4702	8582
177	4731	8560
178	4761	8538
179	4789	8514
180	4817	8490
181	4845	8465
182	4872	8440
183	4900	8416
184	4928	8391
185	4955	8366
186	4984	8342
187	5013	8320
188	5041	8295
189	5069	8272
190	5098	8248
191	5127	8224
192	5155	8200
193	5183	8176
194	5212	8153
195	5242	8130
196	5272	8109
197	5301	8086
198	5330	8062
199	5358	8037
200	5386	8013
201	5415	7989
202	5444	7966
203	5473	7941
204	5502	7917
205	5531	7894
206	5560	7871
207	5589	7846
208	5617	7821
209	5645	7796
210	5674	7771
211	5702	7747
212	5730	7721
213	5760	7698
214	5789	7674
215	5818	7649
216	5846	7624
217	5874	7598
218	5901	7572
219	5931	7548
220	5960	7525
221	5989	7500
222	6018	7476
223	6046	7450
224	6077	7427
225	6106	7403
226	6134	7377
227	6162	7352
228	6192	7328
229	6222	7304
230	6250	7278
231	6278	7252
232	6307	7227
233	6336	7202
234	6364	7177
235	6392	7151
236	6421	7126
237	6450	7100
238	6480	7077
239	6509	7052
240	6540	7029
241	6569	7003
242	6599	6979
243	6629	6955
244	6659	6931
245	6689	6906
246	6719	6882
247	6749	6858
248	6779	6833
249	6807	6807
250	6835	6781
251	6864	6755
252	6892	6728
253	6920	6702
254	6948	6675
255	6975	6648
256	7004	6622
257	7032	6596
258	7062	6571
259	7090	6545
260	7126	6526
261	7160	6504
262	7195	6483
263	7231	6464
264	7262	6440
265	7290	6413
266	7323	6390
267	7352	6364
268	7380	6337
269	7409	6311
270	7437	6285
271	7465	6258
272	7493	6231
273	7522	6205
274	7550	6177
275	7578	6150
276	7606	6123
277	7634	6096
278	7663	6070
279	7691	6043
280	7719	6016
281	7747	5989
282	7776	5963
283	7805	5936
284	7836	5912
285	7866	5886
286	7898	5862
287	7930	5837
288	7959	5811
289	7988	5784
290	8017	5758
291	8047	5732
292	8076	5705
293	8104	5678
294	8134	5652
295	8163	5625
296	8190	5598
297	8218	5571
298	8246	5543
299	8275	5517
300	8305	5490
301	8338	5467
302	8367	5440
303	8396	5413
304	8415	5380
305	8444	5353
306	8473	5327
307	8502	5300
308	8530	5272
309	8558	5245
310	8587	5218
311	8616	5191
312	8644	5164
313	8673	5137
314	8701	5110
315	8729	5083
316	8757	5055
317	8786	5028
318	8815	5001
319	8844	4975
320	8872	4947
321	8900	4919
322	8929	4893
323	8958	4866
324	8987	4839
325	9015	4811
326	9044	4784
327	9073	4757
328	9102	4731
329	9131	4703
330	9159	4676
331	9187	4649
