iter	Accuracy	Logloss
0	0.7899159664	0.6629567783
1	0.8137254902	0.6350638398
2	0.8165266106	0.6080851414
3	0.8151260504	0.588721973
4	0.824929972	0.5676162405
5	0.8193277311	0.5579316217
6	0.8193277311	0.5440494327
7	0.8165266106	0.532597789
8	0.8137254902	0.5219386634
9	0.8193277311	0.5076794724
10	0.8221288515	0.4935497229
11	0.8235294118	0.4844251932
12	0.8305322129	0.4736489592
13	0.8277310924	0.4661824389
14	0.8319327731	0.4569410259
15	0.8389355742	0.4506006655
16	0.8333333333	0.4451618651
17	0.8347338936	0.4379136002
18	0.8319327731	0.4360505621
19	0.8333333333	0.4292646407
20	0.837535014	0.4233433715
21	0.8389355742	0.4184822397
22	0.8403361345	0.4161094989
23	0.8403361345	0.4132353646
24	0.8403361345	0.4097174478
25	0.8403361345	0.4061450665
26	0.8361344538	0.4025459468
27	0.8389355742	0.3988769928
28	0.8389355742	0.3981504742
29	0.837535014	0.3953530633
30	0.837535014	0.3927745125
31	0.837535014	0.3902865148
32	0.837535014	0.3886241311
33	0.8403361345	0.3865799561
34	0.8403361345	0.3849386206
35	0.8403361345	0.3830595649
36	0.8403361345	0.3826640788
37	0.8403361345	0.3819827329
38	0.8431372549	0.3797944713
39	0.8431372549	0.3786183365
40	0.8431372549	0.3767937384
41	0.8445378151	0.3754699487
42	0.8445378151	0.373250362
43	0.8431372549	0.3715571184
44	0.8431372549	0.3706254756
45	0.8431372549	0.3695984335
46	0.8459383754	0.368648326
47	0.8445378151	0.368506892
48	0.8431372549	0.3679057806
49	0.8445378151	0.3666227541
50	0.8459383754	0.3665406992
51	0.8459383754	0.3653821168
52	0.8445378151	0.3641446714
53	0.8445378151	0.3630929421
54	0.8445378151	0.3629755134
55	0.8431372549	0.3611973181
56	0.8431372549	0.3601207635
57	0.8431372549	0.3593789047
58	0.8459383754	0.3583667864
59	0.8445378151	0.3572416604
60	0.8459383754	0.356802894
61	0.8487394958	0.3555132264
62	0.8473389356	0.3540824524
63	0.8515406162	0.3528744245
64	0.8515406162	0.3526369228
65	0.8543417367	0.3519090572
66	0.8543417367	0.3513830123
67	0.8543417367	0.3512706849
68	0.8543417367	0.3507565951
69	0.8543417367	0.3499644935
70	0.8543417367	0.349002985
71	0.8557422969	0.3483221167
72	0.8571428571	0.3463991697
73	0.8557422969	0.345982599
74	0.8585434174	0.3453520408
75	0.8585434174	0.3452643578
76	0.8599439776	0.3449429717
77	0.8599439776	0.3443946741
78	0.8599439776	0.3427573391
79	0.8599439776	0.3420559278
80	0.8599439776	0.341907642
81	0.8599439776	0.3416641736
82	0.8613445378	0.3415015802
83	0.8613445378	0.3404174427
84	0.8613445378	0.340376356
85	0.8613445378	0.3397078888
86	0.862745098	0.3385808178
87	0.862745098	0.338509885
88	0.8613445378	0.3372429921
89	0.8613445378	0.3360629559
90	0.8613445378	0.335478953
91	0.8641456583	0.3352583338
92	0.8669467787	0.3347247832
93	0.8669467787	0.3340942103
94	0.8683473389	0.3332923416
95	0.8669467787	0.3328622849
96	0.8669467787	0.3319837226
97	0.8669467787	0.3317830503
98	0.8655462185	0.33157935
99	0.8669467787	0.3312569077
100	0.8669467787	0.3312569077
101	0.8683473389	0.3311878884
102	0.8669467787	0.3306465148
103	0.8669467787	0.3296081627
104	0.8669467787	0.3294857446
105	0.8669467787	0.3294850995
106	0.8683473389	0.3287551246
107	0.8697478992	0.3276834457
108	0.8711484594	0.3266501908
109	0.8711484594	0.3259570132
110	0.8711484594	0.3256334387
111	0.8739495798	0.3250222946
112	0.8739495798	0.3249307558
113	0.8725490196	0.3240580978
114	0.8739495798	0.3235725216
115	0.8697478992	0.322821633
116	0.8697478992	0.3226362643
117	0.8711484594	0.3219292911
118	0.8711484594	0.3217840535
119	0.8711484594	0.3215751247
120	0.8725490196	0.3213440593
121	0.8725490196	0.3212793748
