iter	Passed	Remaining
0	20	10338
1	46	11579
2	76	12709
3	92	11464
4	116	11578
5	127	10532
6	142	10054
7	158	9724
8	186	10164
9	215	10569
10	243	10809
11	267	10876
12	295	11071
13	324	11265
14	349	11295
15	370	11213
16	400	11374
17	429	11513
18	440	11141
19	469	11258
20	497	11340
21	527	11464
22	556	11547
23	585	11605
24	615	11703
25	645	11761
26	682	11951
27	710	11979
28	726	11795
29	754	11822
30	783	11852
31	813	11897
32	837	11848
33	865	11859
34	894	11879
35	922	11893
36	933	11675
37	957	11646
38	989	11693
39	1021	11743
40	1057	11837
41	1091	11898
42	1121	11919
43	1151	11935
44	1183	11961
45	1214	11984
46	1243	11987
47	1255	11820
48	1285	11833
49	1314	11826
50	1324	11664
51	1353	11661
52	1382	11660
53	1401	11575
54	1411	11420
55	1440	11419
56	1467	11408
57	1495	11398
58	1523	11390
59	1553	11394
60	1584	11399
61	1615	11415
62	1644	11409
63	1673	11402
64	1697	11362
65	1725	11346
66	1754	11335
67	1764	11208
68	1791	11191
69	1819	11178
70	1847	11163
71	1875	11150
72	1903	11135
73	1931	11116
74	1954	11075
75	1970	10990
76	1999	10984
77	2023	10946
78	2052	10938
79	2081	10929
80	2110	10918
81	2134	10882
82	2144	10776
83	2173	10764
84	2183	10661
85	2211	10644
86	2242	10647
87	2259	10577
88	2289	10572
89	2318	10562
90	2347	10551
91	2373	10525
92	2401	10508
93	2430	10497
94	2459	10483
95	2487	10470
96	2518	10464
97	2546	10447
98	2578	10445
99	2607	10429
100	2613	10322
101	2628	10254
102	2656	10238
103	2684	10222
104	2710	10195
105	2720	10110
106	2750	10100
107	2779	10088
108	2806	10067
109	2834	10049
110	2861	10028
111	2889	10009
112	2908	9962
113	2936	9943
114	2966	9930
115	2994	9913
116	3013	9864
117	3041	9847
118	3070	9829
119	3094	9798
120	3122	9781
121	3143	9740
122	3173	9726
123	3200	9705
124	3228	9684
125	3255	9663
126	3282	9640
127	3309	9619
128	3337	9598
129	3366	9580
130	3394	9560
131	3423	9543
132	3451	9525
133	3462	9457
134	3478	9403
135	3506	9386
136	3535	9368
137	3564	9350
138	3592	9330
139	3620	9311
140	3635	9256
141	3662	9234
142	3691	9216
143	3719	9196
144	3749	9178
145	3777	9158
146	3805	9138
147	3820	9087
148	3849	9067
149	3878	9048
150	3906	9028
151	3935	9009
152	3970	9005
153	3998	8983
154	4027	8965
155	4056	8944
156	4085	8925
157	4109	8894
158	4136	8872
159	4165	8851
160	4192	8828
161	4220	8805
162	4247	8782
163	4275	8760
164	4303	8737
165	4331	8714
166	4359	8692
167	4386	8669
168	4415	8647
169	4442	8624
170	4471	8602
171	4499	8579
172	4526	8556
173	4554	8532
174	4582	8511
175	4610	8488
176	4641	8470
177	4669	8447
178	4697	8424
179	4725	8401
180	4755	8380
181	4783	8357
182	4811	8334
183	4838	8309
184	4867	8287
185	4894	8263
186	4923	8240
187	4950	8216
188	4978	8191
189	5006	8168
190	5033	8144
191	5062	8121
192	5090	8096
193	5117	8072
194	5152	8058
195	5181	8035
196	5209	8011
197	5235	7986
198	5263	7962
199	5295	7943
200	5322	7917
201	5350	7893
202	5377	7867
203	5405	7843
204	5433	7818
205	5461	7794
206	5488	7768
207	5515	7743
208	5544	7719
209	5571	7694
210	5599	7668
211	5627	7644
212	5654	7619
213	5682	7594
214	5710	7570
215	5738	7545
216	5766	7520
217	5794	7495
218	5824	7473
219	5851	7447
220	5879	7422
221	5907	7397
222	5937	7374
223	5964	7348
224	5991	7323
225	6019	7297
226	6047	7273
227	6075	7248
228	6103	7222
229	6130	7197
230	6158	7172
231	6187	7147
232	6214	7121
233	6243	7096
234	6270	7071
235	6299	7046
236	6328	7022
237	6356	6997
238	6384	6971
239	6412	6946
240	6440	6921
241	6468	6896
242	6496	6870
243	6523	6844
244	6551	6819
245	6580	6794
246	6609	6769
247	6640	6747
248	6667	6721
249	6695	6695
250	6724	6670
251	6752	6644
252	6780	6619
253	6807	6593
254	6836	6568
255	6865	6543
256	6897	6521
257	6928	6499
258	6974	6489
259	7003	6464
260	7035	6442
261	7064	6417
262	7094	6393
263	7136	6379
264	7164	6353
265	7193	6328
266	7220	6301
267	7251	6277
268	7281	6252
269	7310	6227
270	7340	6202
271	7370	6178
272	7402	6155
273	7432	6130
274	7460	6104
275	7488	6077
276	7516	6051
277	7546	6026
278	7576	6001
279	7605	5975
280	7634	5950
281	7664	5924
282	7693	5899
283	7722	5873
284	7752	5848
285	7783	5823
286	7813	5798
287	7843	5773
288	7872	5747
289	7902	5722
290	7932	5697
291	7962	5672
292	7994	5648
293	8023	5621
294	8051	5595
295	8078	5567
296	8107	5541
297	8135	5514
298	8163	5487
299	8191	5461
300	8219	5434
301	8247	5407
302	8277	5381
303	8306	5355
304	8335	5329
305	8363	5302
306	8390	5275
307	8420	5249
308	8449	5223
309	8478	5196
310	8507	5170
311	8536	5143
312	8563	5116
313	8591	5089
314	8620	5062
315	8654	5039
316	8688	5015
317	8722	4991
318	8751	4965
319	8779	4938
320	8807	4911
321	8834	4883
322	8864	4857
323	8892	4830
324	8922	4804
325	8950	4777
326	8979	4750
327	9007	4723
328	9036	4696
329	9066	4670
330	9098	4645
331	9127	4618
332	9156	4591
333	9184	4564
334	9213	4537
335	9242	4511
336	9271	4484
337	9299	4457
338	9329	4431
339	9358	4404
340	9388	4377
341	9417	4350
342	9446	4324
343	9476	4297
344	9506	4271
345	9534	4243
346	9564	4217
347	9597	4191
348	9624	4164
349	9653	4137
350	9682	4110
351	9713	4084
352	9743	4057
353	9772	4030
354	9803	4004
355	9832	3977
356	9863	3950
357	9894	3924
358	9922	3897
359	9950	3869
360	9980	3842
361	10010	3816
362	10042	3790
363	10071	3762
364	10101	3736
365	10130	3709
366	10161	3682
367	10192	3656
368	10221	3628
369	10250	3601
370	10279	3574
371	10310	3547
372	10341	3521
373	10371	3494
374	10400	3466
375	10429	3439
376	10458	3412
377	10487	3384
378	10515	3357
379	10543	3329
380	10571	3301
381	10600	3274
382	10629	3247
383	10658	3219
