iter	Accuracy	Logloss
0	0.8117977528	0.6639788777
1	0.8174157303	0.6362032063
2	0.8117977528	0.621801803
3	0.8103932584	0.6024595083
4	0.8146067416	0.5803310861
5	0.8117977528	0.5649092689
6	0.8117977528	0.5503982378
7	0.8132022472	0.5390042155
8	0.816011236	0.52714744
9	0.8202247191	0.5137177734
10	0.8216292135	0.5026205124
11	0.8216292135	0.4943233132
12	0.8216292135	0.4853624513
13	0.8244382022	0.4772512132
14	0.8216292135	0.4689700997
15	0.8216292135	0.4637682035
16	0.8216292135	0.4599920619
17	0.8258426966	0.4536307721
18	0.827247191	0.4467846702
19	0.827247191	0.4413954938
20	0.8328651685	0.4379579969
21	0.8314606742	0.4347486591
22	0.8300561798	0.4336013951
23	0.8328651685	0.4288262503
24	0.8328651685	0.4283028327
25	0.8314606742	0.4244941998
26	0.8328651685	0.4211725699
27	0.8286516854	0.4198318985
28	0.8328651685	0.4177534177
29	0.8328651685	0.4158690253
30	0.8328651685	0.4129241688
31	0.8342696629	0.412146216
32	0.8328651685	0.4096347143
33	0.8314606742	0.4075723453
34	0.8314606742	0.4065721033
35	0.8314606742	0.4051532167
36	0.8300561798	0.4029102903
37	0.8314606742	0.401213242
38	0.8286516854	0.401002678
39	0.8286516854	0.3992182248
40	0.8300561798	0.3974085367
41	0.8328651685	0.3960711038
42	0.8328651685	0.3940428047
43	0.8328651685	0.3926284493
44	0.8328651685	0.390959493
45	0.8342696629	0.3884256929
46	0.8384831461	0.3872166721
47	0.8384831461	0.3862658104
48	0.8384831461	0.3850713185
49	0.8384831461	0.3840118827
50	0.8384831461	0.3828768047
51	0.8384831461	0.3825555212
52	0.8370786517	0.3813013818
53	0.8398876404	0.3809979374
54	0.8398876404	0.3803506452
55	0.8441011236	0.3798482531
56	0.8441011236	0.3798235106
57	0.845505618	0.3786097532
58	0.8441011236	0.378088815
59	0.8441011236	0.3773471725
60	0.8426966292	0.3771906558
61	0.8426966292	0.3766189143
62	0.8426966292	0.3757687659
63	0.8426966292	0.3747587991
64	0.8426966292	0.3745957042
65	0.8441011236	0.3719009071
66	0.8426966292	0.371516164
67	0.8426966292	0.3711607309
68	0.845505618	0.3703540853
69	0.8469101124	0.3686576065
70	0.8469101124	0.367999428
71	0.8469101124	0.3660753159
72	0.845505618	0.3653296372
73	0.845505618	0.3647796676
74	0.845505618	0.364750622
75	0.845505618	0.3647497931
76	0.845505618	0.3647488916
77	0.845505618	0.3641462673
78	0.8469101124	0.3637303245
79	0.8469101124	0.3636915583
80	0.8469101124	0.3630672312
81	0.8483146067	0.3624349111
82	0.8483146067	0.3621076455
83	0.8469101124	0.3613500424
84	0.8469101124	0.3612387588
85	0.8483146067	0.3605778523
86	0.8497191011	0.3605773244
87	0.8469101124	0.3601886667
88	0.8469101124	0.3597887421
89	0.8469101124	0.3593875428
90	0.845505618	0.3580865182
91	0.8469101124	0.3575385154
92	0.8469101124	0.3565666225
93	0.8469101124	0.3561156892
94	0.8483146067	0.3555312215
95	0.8469101124	0.3538430825
96	0.8483146067	0.3531426277
97	0.8483146067	0.3529946346
98	0.8497191011	0.3516913446
99	0.8511235955	0.3511930928
100	0.8525280899	0.3502162526
101	0.8539325843	0.3499453157
102	0.8511235955	0.3494887581
103	0.8511235955	0.3492183347
104	0.8511235955	0.3485716207
105	0.8525280899	0.3476852667
106	0.8511235955	0.3470649181
107	0.8539325843	0.346774419
108	0.8539325843	0.3458816476
109	0.8525280899	0.3458122062
110	0.8525280899	0.3450996605
111	0.8553370787	0.3442763189
112	0.8553370787	0.3440420299
113	0.8553370787	0.3438057795
114	0.8539325843	0.3433128068
115	0.8553370787	0.3423368897
116	0.8553370787	0.3420367815
117	0.8553370787	0.3415485155
118	0.8553370787	0.3403013341
119	0.856741573	0.3397105108
120	0.856741573	0.3397104986
121	0.8595505618	0.338561213
122	0.8595505618	0.3377754066
123	0.8609550562	0.3371886353
124	0.8623595506	0.3368092203
125	0.8623595506	0.3364400547
126	0.8609550562	0.3362540897
127	0.8637640449	0.3357151906
128	0.8679775281	0.3352040167
129	0.8735955056	0.3340842743
130	0.8721910112	0.3337007537
131	0.8721910112	0.3331699018
132	0.8721910112	0.3329136042
133	0.875	0.331334077
134	0.875	0.3312924342
135	0.8735955056	0.3310568414
136	0.875	0.3305960858
137	0.875	0.3305623224
138	0.875	0.3291758719
139	0.875	0.3287095085
140	0.8764044944	0.3281998175
141	0.8792134831	0.3268276724
142	0.8792134831	0.3266607392
143	0.8806179775	0.3259047148
144	0.8820224719	0.3255147741
145	0.8820224719	0.3250438404
146	0.8834269663	0.3242324027
147	0.8848314607	0.3233578105
148	0.8848314607	0.3232662026
149	0.8848314607	0.3224286931
150	0.8834269663	0.3213742136
151	0.8848314607	0.3206003094
152	0.8848314607	0.3199917391
153	0.8848314607	0.3191913801
154	0.8848314607	0.3189218763
155	0.8806179775	0.3175266277
156	0.8806179775	0.317178407
157	0.8834269663	0.3160689001
158	0.8834269663	0.3159261632
159	0.8834269663	0.3154435089
160	0.8834269663	0.3146874695
161	0.8862359551	0.3141078669
162	0.8862359551	0.3138675735
163	0.8862359551	0.313384443
164	0.8876404494	0.3129920115
165	0.8876404494	0.3119827017
166	0.8876404494	0.3116154707
167	0.8876404494	0.3108494101
