iter	Passed	Remaining
0	25	12916
1	55	13904
2	71	11812
3	95	11867
4	125	12392
5	161	13262
6	191	13462
7	219	13529
8	252	13773
9	280	13735
10	309	13765
11	333	13557
12	361	13534
13	390	13546
14	419	13575
15	450	13628
16	466	13260
17	496	13300
18	533	13516
19	567	13609
20	599	13663
21	631	13711
22	653	13562
23	688	13650
24	699	13296
25	733	13371
26	771	13515
27	790	13322
28	819	13311
29	848	13294
30	877	13280
31	892	13057
32	926	13107
33	955	13093
34	985	13092
35	1015	13090
36	1046	13096
37	1076	13090
38	1087	12853
39	1115	12830
40	1144	12814
41	1173	12800
42	1202	12779
43	1232	12777
44	1261	12752
45	1291	12746
46	1319	12716
47	1347	12690
48	1372	12629
49	1403	12629
50	1433	12616
51	1461	12587
52	1490	12567
53	1513	12499
54	1541	12470
55	1565	12408
56	1576	12249
57	1605	12237
58	1635	12224
59	1663	12200
60	1678	12081
61	1707	12060
62	1735	12041
63	1765	12024
64	1784	11944
65	1813	11927
66	1842	11908
67	1861	11827
68	1889	11803
69	1919	11788
70	1947	11766
71	1975	11743
72	2003	11719
73	2033	11706
74	2047	11602
75	2053	11455
76	2063	11333
77	2090	11308
78	2118	11289
79	2129	11179
80	2156	11155
81	2186	11145
82	2209	11102
83	2238	11086
84	2267	11069
85	2295	11052
86	2306	10949
87	2333	10925
88	2361	10903
89	2388	10883
90	2419	10872
91	2450	10868
92	2480	10855
93	2509	10837
94	2537	10818
95	2566	10801
96	2594	10780
97	2622	10756
98	2651	10738
99	2680	10721
100	2707	10697
101	2736	10677
102	2767	10666
103	2794	10642
104	2824	10625
105	2851	10600
106	2880	10580
107	2910	10563
108	2939	10543
109	2954	10476
110	2983	10455
111	3012	10436
112	3040	10411
113	3054	10343
114	3082	10319
115	3110	10296
116	3125	10230
117	3152	10207
118	3180	10184
119	3210	10167
120	3220	10088
121	3249	10067
122	3279	10050
123	3309	10033
124	3338	10014
125	3366	9993
126	3395	9972
127	3423	9949
128	3451	9927
129	3482	9910
130	3509	9886
131	3538	9866
132	3567	9843
133	3596	9824
134	3608	9755
135	3637	9734
136	3665	9713
137	3685	9666
138	3714	9646
139	3742	9623
140	3771	9602
141	3802	9585
142	3831	9564
143	3858	9539
144	3886	9515
145	3915	9493
146	3944	9471
147	3972	9448
148	4019	9468
149	4050	9450
150	4081	9432
151	4112	9416
152	4143	9398
153	4173	9375
154	4203	9355
155	4232	9333
156	4262	9312
157	4292	9290
158	4320	9266
159	4350	9244
160	4380	9223
161	4408	9197
162	4437	9174
163	4466	9150
164	4494	9125
165	4523	9101
166	4551	9075
167	4580	9052
168	4608	9026
169	4637	9002
170	4665	8976
171	4693	8949
172	4722	8925
173	4751	8901
174	4780	8877
175	4808	8851
176	4839	8830
177	4867	8805
178	4896	8780
179	4925	8756
180	4954	8731
181	4982	8706
182	5012	8682
183	5041	8658
184	5070	8633
185	5099	8608
186	5127	8582
187	5155	8556
188	5185	8532
189	5214	8508
190	5243	8482
191	5271	8455
192	5300	8431
193	5328	8404
194	5356	8377
195	5384	8351
196	5413	8325
197	5447	8308
198	5476	8282
199	5504	8257
200	5533	8231
201	5564	8208
202	5594	8184
203	5624	8160
204	5651	8133
205	5679	8106
206	5708	8079
207	5736	8052
208	5763	8025
209	5791	7997
210	5819	7971
211	5847	7944
212	5876	7917
213	5907	7894
214	5938	7872
215	5974	7854
216	6005	7832
217	6047	7822
218	6078	7799
219	6110	7776
220	6139	7750
221	6168	7724
222	6198	7698
223	6226	7672
224	6261	7652
225	6292	7628
226	6321	7602
227	6352	7577
228	6382	7553
229	6411	7526
230	6439	7499
231	6468	7472
232	6496	7444
233	6523	7415
234	6551	7387
235	6580	7360
236	6608	7333
237	6635	7304
238	6664	7277
239	6692	7250
240	6721	7223
241	6762	7209
242	6790	7181
243	6817	7153
244	6845	7125
245	6874	7098
246	6903	7070
247	6931	7043
248	6959	7015
249	6987	6987
250	7015	6959
251	7043	6931
252	7070	6903
253	7098	6874
254	7126	6847
255	7155	6820
256	7183	6792
257	7212	6765
258	7242	6739
259	7279	6719
260	7311	6695
261	7356	6682
262	7390	6660
263	7420	6633
264	7450	6607
265	7479	6579
266	7508	6552
267	7538	6526
268	7568	6499
269	7597	6471
270	7624	6442
271	7653	6415
272	7681	6387
273	7709	6359
274	7737	6331
275	7765	6302
276	7794	6275
277	7828	6251
278	7869	6233
279	7909	6214
280	7943	6190
281	7971	6162
282	8001	6135
283	8029	6106
284	8057	6078
285	8085	6050
286	8114	6022
287	8142	5993
288	8171	5966
289	8200	5938
290	8229	5910
291	8258	5882
292	8294	5860
293	8323	5832
294	8351	5803
295	8381	5776
296	8409	5747
297	8437	5719
298	8466	5691
299	8493	5662
300	8521	5633
301	8548	5604
302	8576	5576
303	8603	5547
304	8632	5519
305	8661	5491
306	8688	5462
307	8718	5434
308	8745	5406
309	8773	5377
310	8801	5348
311	8828	5319
312	8855	5290
313	8883	5262
314	8912	5234
315	8940	5205
316	8968	5177
317	8998	5149
318	9025	5121
319	9054	5092
320	9082	5064
321	9111	5036
322	9140	5008
323	9169	4980
324	9197	4952
325	9225	4923
326	9253	4895
327	9281	4866
328	9307	4837
329	9334	4808
330	9363	4780
331	9392	4752
332	9420	4724
333	9449	4696
334	9480	4669
335	9511	4642
336	9539	4614
337	9567	4585
338	9595	4557
339	9623	4528
340	9651	4500
341	9678	4471
342	9707	4443
343	9735	4415
344	9763	4386
345	9791	4358
346	9819	4329
347	9846	4300
348	9874	4272
349	9902	4243
350	9929	4215
351	9958	4187
352	9986	4158
353	10014	4130
354	10041	4101
355	10069	4073
356	10097	4044
357	10125	4016
358	10152	3987
359	10180	3959
360	10207	3930
361	10236	3902
362	10268	3875
363	10298	3847
364	10325	3819
365	10353	3790
366	10381	3762
367	10409	3733
368	10437	3705
369	10465	3676
370	10493	3648
371	10521	3620
372	10550	3592
373	10577	3563
374	10605	3535
375	10634	3507
376	10662	3478
377	10691	3450
378	10719	3422
379	10748	3394
380	10775	3365
381	10804	3337
382	10832	3309
383	10860	3280
384	10889	3252
385	10920	3225
386	10949	3197
387	10977	3168
388	11007	3141
389	11035	3112
390	11064	3084
391	11095	3056
392	11133	3031
393	11173	3006
394	11207	2979
395	11237	2951
396	11268	2923
397	11299	2895
398	11328	2867
399	11360	2840
400	11389	2811
401	11418	2783
402	11452	2756
403	11483	2728
404	11514	2701
405	11544	2672
406	11589	2648
407	11624	2621
408	11654	2593
409	11685	2565
410	11715	2536
411	11743	2508
412	11773	2480
413	11803	2451
414	11832	2423
415	11861	2395
416	11890	2366
417	11918	2338
418	11952	2310
419	11988	2283
420	12026	2256
421	12060	2229
422	12091	2201
423	12121	2172
424	12150	2144
