iter	Accuracy	Logloss
0	0.8188202247	0.6622643281
1	0.8328651685	0.6309285059
2	0.827247191	0.6148538335
3	0.8328651685	0.5865954763
4	0.8356741573	0.5637728948
5	0.8370786517	0.5451308844
6	0.8314606742	0.5292433463
7	0.8286516854	0.5151428606
8	0.8286516854	0.5032574901
9	0.8286516854	0.4923862817
10	0.8314606742	0.4829352445
11	0.8314606742	0.4764883481
12	0.8328651685	0.4697265116
13	0.8342696629	0.4615819971
14	0.8384831461	0.452948154
15	0.8384831461	0.4446972426
16	0.8370786517	0.4405070943
17	0.8384831461	0.4346869847
18	0.8384831461	0.4272681224
19	0.8398876404	0.4226144632
20	0.8384831461	0.4192796733
21	0.8398876404	0.4178908543
22	0.8398876404	0.4143037345
23	0.8398876404	0.4112654536
24	0.8384831461	0.4096581234
25	0.8426966292	0.4074494615
26	0.845505618	0.4031497893
27	0.8384831461	0.3994002737
28	0.845505618	0.396876002
29	0.8384831461	0.3955931349
30	0.8384831461	0.393451481
31	0.8398876404	0.3925933095
32	0.8426966292	0.391073985
33	0.8412921348	0.3871090193
34	0.8426966292	0.3842444603
35	0.8426966292	0.3824074539
36	0.8469101124	0.381112019
37	0.845505618	0.378584484
38	0.8483146067	0.3763180553
39	0.8483146067	0.375232576
40	0.8483146067	0.3751919671
41	0.8497191011	0.3742076621
42	0.8497191011	0.3735831945
43	0.8511235955	0.372643816
44	0.8497191011	0.3699147443
45	0.8511235955	0.3681417092
46	0.8497191011	0.3664889823
47	0.8525280899	0.3658532246
48	0.8525280899	0.3658368746
49	0.8525280899	0.3646757649
50	0.8539325843	0.3632714799
51	0.8553370787	0.3612067704
52	0.8553370787	0.360302749
53	0.8553370787	0.3594958115
54	0.8553370787	0.3583822877
55	0.8581460674	0.3574358182
56	0.856741573	0.3569719739
57	0.856741573	0.3555595674
58	0.8595505618	0.3540252498
59	0.8581460674	0.3538514042
60	0.8595505618	0.3529610191
61	0.8595505618	0.352137978
62	0.8595505618	0.3518302286
63	0.8595505618	0.3514584083
64	0.8581460674	0.3513723753
65	0.8581460674	0.3501047054
66	0.8609550562	0.3495528522
67	0.8609550562	0.3492462718
68	0.8609550562	0.3483587074
69	0.8581460674	0.346431076
70	0.8581460674	0.3454519733
71	0.8553370787	0.3451419505
72	0.8581460674	0.3442054977
73	0.856741573	0.3438415614
74	0.8553370787	0.3433340515
75	0.8581460674	0.3422482931
76	0.8581460674	0.3418841193
77	0.856741573	0.3413172154
78	0.8581460674	0.3406268261
79	0.856741573	0.3398081062
80	0.8581460674	0.3386385447
81	0.856741573	0.3381471084
82	0.8581460674	0.3371298599
83	0.8581460674	0.3369442225
84	0.8581460674	0.3367298269
85	0.8595505618	0.3363654447
86	0.8581460674	0.3361521319
87	0.8595505618	0.3360439339
88	0.8609550562	0.3351599628
89	0.8595505618	0.3345761601
90	0.8595505618	0.3340069161
91	0.8595505618	0.3336971204
92	0.8595505618	0.3331872553
93	0.8595505618	0.3331601996
94	0.8595505618	0.3320320803
95	0.8609550562	0.3319535081
96	0.8595505618	0.3307636574
97	0.8637640449	0.3301111705
98	0.8637640449	0.3299691964
99	0.8637640449	0.3295372814
100	0.8651685393	0.3291873496
101	0.8651685393	0.329109299
102	0.8651685393	0.3281107763
103	0.8651685393	0.327195482
104	0.8651685393	0.3262935172
105	0.8665730337	0.3261909675
106	0.8665730337	0.3256449831
107	0.8665730337	0.3255636759
108	0.8665730337	0.3254929695
109	0.8651685393	0.3251604075
110	0.8651685393	0.325046477
111	0.8651685393	0.3248661829
112	0.8679775281	0.3242924486
113	0.8665730337	0.3235408114
114	0.8735955056	0.3219204648
115	0.8735955056	0.321527631
116	0.875	0.3203059814
117	0.8764044944	0.3187538607
118	0.8764044944	0.3180943999
119	0.8792134831	0.3177439277
120	0.8735955056	0.316529211
121	0.8778089888	0.3156147588
122	0.8778089888	0.3144302689
123	0.8792134831	0.3140918173
124	0.8792134831	0.3132612564
125	0.8806179775	0.3127795897
126	0.8806179775	0.312060709
127	0.8806179775	0.3119218734
128	0.8806179775	0.3116674268
129	0.8806179775	0.3112578817
130	0.8806179775	0.3105871465
131	0.8820224719	0.3101212534
132	0.8820224719	0.3098990205
133	0.8820224719	0.3092082527
134	0.8834269663	0.3076755749
135	0.8820224719	0.3055002752
136	0.8820224719	0.3051026659
137	0.8820224719	0.3047409085
138	0.8820224719	0.3044532759
139	0.8820224719	0.3036375664
140	0.8834269663	0.3030930546
141	0.8834269663	0.302843291
142	0.8834269663	0.3019992257
143	0.8834269663	0.3016855403
144	0.8834269663	0.3010869977
145	0.8834269663	0.3006104132
146	0.8834269663	0.3003684838
147	0.8862359551	0.2996214189
148	0.8876404494	0.2989189182
149	0.8862359551	0.2974780796
150	0.8862359551	0.2967191601
151	0.8862359551	0.2963046292
152	0.8876404494	0.2947614024
153	0.8876404494	0.2938508076
154	0.8876404494	0.2932657367
155	0.8876404494	0.2928850791
156	0.8876404494	0.2925941408
157	0.8876404494	0.2922569298
158	0.8876404494	0.2922088506
159	0.8862359551	0.2901622842
160	0.8890449438	0.2880429191
161	0.8890449438	0.2872489063
162	0.8862359551	0.2859058247
163	0.8890449438	0.2847605474
164	0.8890449438	0.2843167271
165	0.8890449438	0.2841141582
166	0.8918539326	0.2827088581
167	0.8918539326	0.281694463
168	0.8904494382	0.281306834
169	0.8918539326	0.2807206817
170	0.8904494382	0.2792875561
171	0.8904494382	0.2784992845
172	0.8904494382	0.2777018176
173	0.893258427	0.2773245385
174	0.893258427	0.2768720761
175	0.8946629213	0.2753532906
176	0.8946629213	0.2749310627
177	0.8946629213	0.2743341069
178	0.8960674157	0.2728089568
179	0.8960674157	0.2724713551
180	0.8960674157	0.2719526622
181	0.8960674157	0.2711161644
