iter	Passed	Remaining
0	18	9083
1	45	11264
2	71	11855
3	86	10762
4	117	11618
5	150	12419
6	181	12774
7	211	12989
8	248	13559
9	258	12688
10	295	13126
11	331	13498
12	370	13863
13	407	14134
14	423	13699
15	444	13431
16	472	13417
17	503	13494
18	533	13516
19	563	13523
20	578	13200
21	607	13207
22	627	13010
23	638	12672
24	668	12695
25	700	12777
26	730	12791
27	749	12626
28	780	12674
29	809	12689
30	824	12473
31	854	12498
32	875	12383
33	907	12440
34	938	12465
35	970	12513
36	1004	12566
37	1043	12684
38	1077	12736
39	1106	12727
40	1122	12563
41	1153	12575
42	1182	12565
43	1212	12563
44	1242	12564
45	1273	12571
46	1303	12559
47	1332	12548
48	1361	12527
49	1385	12470
50	1401	12338
51	1431	12332
52	1466	12369
53	1495	12349
54	1524	12336
55	1553	12315
56	1582	12296
57	1612	12287
58	1641	12270
59	1673	12271
60	1703	12257
61	1733	12245
62	1763	12229
63	1777	12111
64	1807	12094
65	1836	12077
66	1856	11996
67	1884	11973
68	1913	11950
69	1942	11929
70	1971	11910
71	2000	11891
72	2029	11872
73	2059	11857
74	2066	11707
75	2095	11690
76	2124	11672
77	2131	11530
78	2160	11513
79	2185	11473
80	2214	11457
81	2244	11442
82	2273	11422
83	2298	11382
84	2327	11363
85	2356	11345
86	2367	11240
87	2397	11225
88	2426	11205
89	2455	11186
90	2484	11165
91	2514	11151
92	2543	11133
93	2572	11111
94	2601	11091
95	2630	11069
96	2659	11050
97	2688	11027
98	2707	10968
99	2737	10949
100	2757	10895
101	2786	10873
102	2815	10851
103	2830	10776
104	2845	10702
105	2859	10629
106	2888	10609
107	2916	10587
108	2945	10564
109	2959	10491
110	2988	10473
111	3016	10450
112	3045	10430
113	3074	10408
114	3102	10387
115	3120	10329
116	3148	10305
117	3176	10282
118	3200	10245
119	3228	10222
120	3256	10199
121	3284	10177
122	3299	10113
123	3328	10092
124	3358	10075
125	3390	10063
126	3419	10044
127	3451	10029
128	3482	10014
129	3512	9998
130	3543	9981
131	3573	9963
132	3605	9949
133	3636	9931
134	3667	9915
135	3698	9898
136	3728	9878
137	3759	9860
138	3769	9790
139	3784	9732
140	3796	9665
141	3808	9600
142	3842	9592
143	3858	9538
144	3889	9522
145	3918	9499
146	3947	9478
147	3975	9456
148	4005	9435
