iter	Accuracy	Logloss
0	0.8008415147	0.6628298187
1	0.8288920056	0.6309741484
2	0.8288920056	0.6051292206
3	0.824684432	0.5908994635
4	0.8218793829	0.5700097842
5	0.8359046283	0.5495344071
6	0.8260869565	0.5345403652
7	0.8274894811	0.5196355736
8	0.8316970547	0.506754774
9	0.8232819074	0.5012234813
10	0.8288920056	0.4900688368
11	0.8316970547	0.4811570798
12	0.8359046283	0.4725163882
13	0.8330995792	0.4637944788
14	0.8359046283	0.4598198902
15	0.8345021038	0.4554350502
16	0.8359046283	0.4479587865
17	0.8316970547	0.4410413619
18	0.8302945302	0.4363071404
19	0.840112202	0.4307752302
20	0.8288920056	0.4285802356
21	0.8373071529	0.4246053125
22	0.8387096774	0.4217138964
23	0.8359046283	0.4207115975
24	0.8373071529	0.4178403513
25	0.8373071529	0.4164717868
26	0.8359046283	0.4142488714
27	0.840112202	0.4115600878
28	0.8415147265	0.4081613986
29	0.8415147265	0.4063353324
30	0.840112202	0.4059452224
31	0.8387096774	0.4045389583
32	0.8387096774	0.4036194222
33	0.8415147265	0.4013727641
34	0.840112202	0.4000722464
35	0.8415147265	0.3983149026
36	0.8429172511	0.3959234966
37	0.8443197756	0.3930648119
38	0.8443197756	0.3906786603
39	0.8443197756	0.3886577378
40	0.8457223001	0.388261385
41	0.8457223001	0.3870347591
42	0.8485273492	0.3842279983
43	0.8457223001	0.3824741264
44	0.8471248247	0.3801215798
45	0.8485273492	0.3793663523
46	0.8485273492	0.3783235466
47	0.8499298738	0.376869574
48	0.8499298738	0.3760360502
49	0.8499298738	0.375272913
50	0.8513323983	0.3749940989
51	0.8499298738	0.3739281366
52	0.8513323983	0.3723196372
53	0.8513323983	0.3713012667
54	0.8527349229	0.3703827202
55	0.8527349229	0.3690753123
56	0.8513323983	0.3679256421
57	0.8527349229	0.3672918416
58	0.8541374474	0.3656819484
59	0.8541374474	0.36486932
60	0.8555399719	0.3635753152
61	0.8569424965	0.3627564516
62	0.8569424965	0.362392103
63	0.8569424965	0.3619918008
64	0.858345021	0.3600000899
65	0.858345021	0.3589549908
66	0.858345021	0.3588165114
67	0.8611500701	0.356902287
68	0.8611500701	0.3565961261
69	0.8611500701	0.3551174743
70	0.8611500701	0.3541175815
71	0.8611500701	0.3533541398
72	0.8611500701	0.3526741934
73	0.858345021	0.3516384891
74	0.858345021	0.3516377454
75	0.8611500701	0.3507386899
76	0.8611500701	0.350347142
77	0.8611500701	0.3503465055
78	0.8611500701	0.3496012508
79	0.8611500701	0.3490574868
80	0.8611500701	0.3469536123
81	0.8611500701	0.3464170726
82	0.8611500701	0.3461665982
83	0.8611500701	0.3459267684
84	0.8611500701	0.3454603685
85	0.8597475456	0.3448965957
86	0.8611500701	0.3448102907
87	0.8611500701	0.3438664156
88	0.8611500701	0.3431480143
89	0.8639551192	0.3422081022
90	0.8639551192	0.3417570861
91	0.8639551192	0.3413550596
92	0.8639551192	0.3404694182
93	0.8639551192	0.3395677813
94	0.8667601683	0.3384236002
95	0.8653576438	0.3379241156
96	0.8653576438	0.3375968339
97	0.8639551192	0.3372595905
98	0.8653576438	0.3372242312
99	0.8639551192	0.3365445259
100	0.8625525947	0.3363844693
101	0.8639551192	0.3357843722
102	0.8667601683	0.3351776651
103	0.8667601683	0.3350839504
104	0.8667601683	0.3349952028
105	0.8667601683	0.3349211751
106	0.8667601683	0.3345282933
107	0.8667601683	0.3341084638
108	0.8667601683	0.3333983078
109	0.8667601683	0.3333941994
110	0.8667601683	0.3327840361
111	0.8667601683	0.3319559845
112	0.8653576438	0.3315074707
113	0.8667601683	0.3307980901
114	0.8653576438	0.3303527391
115	0.8653576438	0.3301258322
116	0.8681626928	0.3297097523
117	0.8667601683	0.3286301087
118	0.8695652174	0.3281212796
119	0.8695652174	0.3278973696
120	0.8681626928	0.327485974
121	0.8695652174	0.3268282427
122	0.8695652174	0.3267975932
123	0.8709677419	0.3262507584
124	0.8695652174	0.3258088707
125	0.8695652174	0.3252296938
126	0.8695652174	0.3249468783
127	0.8695652174	0.3245669432
128	0.8723702665	0.3235138495
129	0.8709677419	0.322950644
130	0.873772791	0.3216872447
131	0.873772791	0.321309818
132	0.8765778401	0.3207427685
133	0.8751753156	0.3189678016
134	0.8765778401	0.3182960861
135	0.8765778401	0.3173977981
136	0.8765778401	0.3170845802
137	0.8793828892	0.3161231071
138	0.8793828892	0.316076234
139	0.8793828892	0.316075122
140	0.8793828892	0.3160751183
141	0.8793828892	0.3160731045
142	0.8779803647	0.3153809097
143	0.8779803647	0.3152967121
144	0.8793828892	0.3148538754
145	0.8779803647	0.3145719561
146	0.8835904628	0.3138240397
147	0.8863955119	0.3132784868
148	0.8863955119	0.3124999342
149	0.8849929874	0.3102945335
150	0.8863955119	0.3100488434
151	0.8863955119	0.309762106
152	0.8877980365	0.3095011388
153	0.8877980365	0.3091752896
154	0.8877980365	0.3088724793
155	0.8877980365	0.3085400617
156	0.8863955119	0.3078891627
157	0.8863955119	0.3078559594
158	0.8863955119	0.3078244905
159	0.8863955119	0.3075850221
160	0.8863955119	0.3075849091
161	0.8863955119	0.3075096327
162	0.8863955119	0.3071112901
163	0.8863955119	0.3068435926
164	0.8863955119	0.3060996694
165	0.8877980365	0.3054237905
166	0.8877980365	0.3050198818
167	0.8877980365	0.3049968192
168	0.8877980365	0.3045146964
169	0.8877980365	0.3038648438
170	0.8877980365	0.3027660574
171	0.889200561	0.3025250424
172	0.8877980365	0.3014872357
173	0.889200561	0.3003226766
174	0.889200561	0.2999879428
175	0.889200561	0.2996733092
176	0.8877980365	0.2981467268
177	0.8877980365	0.2975390643
178	0.8863955119	0.2973218666
179	0.8877980365	0.2968779535
180	0.889200561	0.294792595
181	0.889200561	0.294461462
182	0.8906030856	0.2941867141
183	0.889200561	0.2934495095
184	0.889200561	0.2923853891
185	0.889200561	0.2917650039
186	0.889200561	0.2912288471
187	0.8906030856	0.2906233113
188	0.8906030856	0.2903683715
189	0.8906030856	0.2896622424
190	0.8906030856	0.2892543099
191	0.8906030856	0.2890826343
192	0.8906030856	0.2879094821
193	0.8906030856	0.2874165105
194	0.8920056101	0.2868873232
195	0.8934081346	0.2862668901
196	0.8948106592	0.2854986778
197	0.8948106592	0.2852030789
198	0.8948106592	0.2849556226
199	0.8962131837	0.2847035619
200	0.8976157083	0.2832869172
201	0.8976157083	0.2821267306
202	0.8976157083	0.2817849789
203	0.8962131837	0.2814509426
204	0.8962131837	0.2811582171
205	0.8962131837	0.280677154
206	0.8962131837	0.2805655796
207	0.8976157083	0.2804625737
208	0.8990182328	0.2795371431
209	0.8990182328	0.2784038653
210	0.8990182328	0.2780079526
211	0.8990182328	0.2775610294
212	0.8990182328	0.2775074622
213	0.9004207574	0.2767751671
214	0.9004207574	0.2757777373
215	0.9004207574	0.2757107588
216	0.9018232819	0.2755778255
217	0.9018232819	0.2752143671
218	0.9032258065	0.2743367634
219	0.9032258065	0.2739205777
220	0.9032258065	0.2738118205
221	0.9032258065	0.2734414254
222	0.9032258065	0.272750279
223	0.9032258065	0.2716036065
224	0.9032258065	0.2712865349
225	0.904628331	0.2704082732
226	0.9060308555	0.269641849
227	0.904628331	0.2685927152
228	0.904628331	0.2681964614
229	0.904628331	0.2665516528
230	0.9060308555	0.2650117417
231	0.9060308555	0.2639545068
232	0.9060308555	0.2634270754
233	0.904628331	0.2631558268
234	0.9060308555	0.2626824408
235	0.9060308555	0.2623953737
236	0.9074333801	0.2619279366
237	0.9060308555	0.2613586194
238	0.9074333801	0.2611246578
239	0.9074333801	0.2602053919
240	0.9074333801	0.2595421389
241	0.9088359046	0.2586700837
242	0.9088359046	0.2573753571
243	0.9088359046	0.256691635
244	0.9088359046	0.2565713958
245	0.9088359046	0.2559805058
246	0.9088359046	0.2558527931
247	0.9074333801	0.2550437296
